Sausage Chicken and Apple,160 (Link),Skinless Chicken Meat/ Pure Maple Syrup/ Brown Sugar/ Dried Apples/ Salt/ Lemon Juice/ Spices
AF Cooked Quinoa,134 (1/2 Cup),Water/ Quinoa/ Sea Salt
AF Quinoa Breakfast Hash,164 (4 oz Portion),Potatoes/ AF Cooked Quinoa(Water/ Quinoa/ Sea Salt)/ Sweet Potatoes(Ingredients: Red Potatoes/ Disodium Pyrophosphate/ Potassium Sorbate.)/ Red Bell Pepper/ Kale/ Canola Oil/ Kosher Salt/ Smoked Paprika(Ingredients: Paprika/ Silicon Dioxide.)/ White Pepper
Vegan Espresso Brownies,297 (Bar),Sugar/ Cocoa Powder/ All Purpose Flour(WHEAT FLOUR/ MALTED BARLEY FLOUR/ NIACIN/ IRON/ THIAMIN MONONITRATE/ RIBOFLAVIN/ FOLIC ACID.)/ Water/ Vegetable Shortening(ingredients: Soybean Oil/ Fully Hydrogenated Palm Oil/ Palm Oil/ Mono And Diglycerides/ TBHQ And Citric Acid (Antioxidants).)/ Egg Replacer(Potato Starch/ Tapioca Flour/ Leavening (Calcium Lactate (not dairy derived)/ Calcium Carbonate/ Citric Acid)/ Sodium Carboxymethylcellulose/ Methylcellulose.)/ Vanilla Syrup(Ingredients: Pure Cane Sugar/ Water/ Natural Flavor/ Natural Vanilla Extracts.)/ Coffee Extract/ Baking Powder(Ingredients: Baking Soda (for leavening)/ Cornstarch/ Sodium Aluminum Sulfate (for leavening)/ Calcium Sulfate/ Monocalcium Phosphate (for leavening).)/ Salt/Alcohol/Gluten/Soy/Wheat
Chocolate Cream Cheese Brownie,178 (Brownie),Chocolate Brownie Mix(Ingredients: Sugar/ Enriched Flour Bleached (Wheat Flour/ Niacin/ Iron/ Thiamin Mononitrate/ Riboflavin/ Folic Acid)/ Palm Oil/ Cocoa Processed with Alkali/ Soybean Oil/ Contains less than 2% of: Egg White/ Salt/ Corn Starch/ Leavening (Baking Soda/ Monocalcium Phosphate)/ Artificial Flavor/ Soy Flour/ Nonfat Milk.)/ Water/ Cream Cheese(Ingredients: Pasteurized Milk and Cream/ Whey Protein Concentrate/ Whey/ Salt/ Carob Bean Gum/ Xanthan Gum/ Guar Gum/ Sorbic Acid (As A Preservative)/ Vitamin A Palmitate/ Cheese Culture.)/ Half and Half(Ingredients: Grade A Jersey Milk and Cream)/Dairy/Eggs/Gluten/Soy/Wheat
Baked Sweet Potato,74 (1/2 Potato),Potato/ Sweet/ Baker(Sweet Potatoes(Ingredients: Red Potatoes/ Disodium Pyrophosphate/ Potassium Sorbate.))
Steamed Kale,52 (1/2 Cup),Kale
Grilled Chicken Breast,127 (4 oz Breast),Chicken Breast/ Salt & Pepper 1:2 Mix(Ground Black Pepper/ Kosher Salt)
Tortellini Salad,566 (4 oz),Cheese Tortellini(Water/ Cheese Tortellini(Pasta Ingredients: Extra Fancy Durum Flour/ Water Eggs/ Imported Romano Cheese/ Ricotta Cheese/ Swiss Cheese/ Bread Crumbs/ Water/ Canola Oil/ Salt/ Spices and Nutmeg.)/ Kosher Salt)/ Buttermilk Ranch Dressing(Ingredients: Soybean Oil/ Water/ Buttermilk/ Vinegar/ High Fructose Corn Syrup/ Egg Yolk/ Buttermilk Solids (Milk)/ Contains Less Than 2% of: Salt/ Onion/ Monosodium Glutamate/ Garlic/ Xanthan Gum/ Lactic Acid/ Polysorbate 60/ Potassium Sorbate as a preservative/ Phosphoric Acid/ Propylene Glycol Alginate/ Spice.)/ Broccoli/ Basil Pesto(Ingredients: Basil/ Canola Oil/ Extra Virgin Olice Oil/ Romano Cheese (Pasteurized Sheep's Milk/ Cultures/ Rennet/ Salt)/ Chopped Garlic/ Salt.)/ Scallions(Green Onion)/Dairy/Eggs/Gluten/Soy/Wheat
Sriracha Tuna Salad,67 (Ounce),Yellowfin Tuna/ Vegan Mayonnaise Spread(Ingredients: Expeller Pressed Canola Oil/ Water/ Organic Distilled Vinegar/ Salt/ Modified Food Starch/ Cane Sugar/ Spice/ Natural Flavor/ Lemon Juice Concentrate/ Calcium Disodium EDTA/ Oleoresin Paprika)/ Chili Sauce(Ingredients: Chili/ Sugar/ Salt/ Garlic/ Distilled Vinegar/ Potassium Sorbate/ Sodium Bisulfate/ Xanthan Gum.)/ Garlic Powder(Ingredients: Ground/ Dehydrated Garlic.)/ Onion Powder(Ingredients: Ground/ Dehydrated Onion.)/Fish
Fresh Mozzarella and Tomato Salad,169 (3 oz Portion),Fresh Mozzarella(Ingredients: Pasteurized Whole Milk/ Starter/ Cheese Cultures/ Vegetable Rennet and Salt.)/ Grape Tomatoes/ Extra Virgin Olive Oil/ White Balsamic Vinegar(Ingredients: Wine Vinegar/ Concentrated Grape Must/ Balsamic Vinegar of Modena (Wine Vinegar/ Concentrated Grape Must)/ Sulfur Dioxide.)/ Basil/ Chiffonade(Fresh Basil)/ Kosher Salt/ Ground Black Pepper/Dairy
