menu,dining_course,day
AF Creole Fried Chicpea Tofu; AF Lemon Parsley Quinoa; AF Charlie's Chicken,Allergen Friendly,day1
Crispy Chewy Treats; Rice Krispy Treats,Dessert,day1
Roast Sweet Potato; Steamed Kale; Grilled Chicken Breast,Lighter Side,day1
Carrot Ginger Soup; French Onion Soup,Soup,day1
Pure Maple Syrup; AF Citrus Roasted Beets; Cheddar Grits; Buttermilk Biscuit; Sausage Gravy; Cage Free Scrambled Eggs; Country Fried Steak,Traditional,day1
AF Szechuan Chicken; AF Steamed Rice Brown; AF Szechuan Chickpea Tofu,Allergen Friendly,day2
Peppermint Chocolate Brownie; Vegan Peppermint Brownies,Dessert,day2
Steamed Broccoli; Roasted Potatoes; Grilled Chicken Breast,Lighter Side,day2
"Egg Salad; Kale, Cabbage and Cranberry Slaw; Kalamata Olive Hummus; Sesame Ginger Pasta Salad",Salad Bar,day2
Butternut Squash & Apple Soup; Beef and Barley Soup,Soup,day2
Vegetable Egg Rolls; Sauteed Snap Peas and Mushrooms; Vegetable Fried Rice; Vegan Sesame Nuggets; Tempura Tender,Traditional,day2
AF Chili Lime Chicken; Gluten Free Tortilla; AF Cooked Jasmine Rice; AF Chili Lime Seared Chickpea Tofu,Allergen Friendly,day3
"Sour Cream; Diced Tomatoes; Cilantro, Chopped; Guacamole; Pico de Gallo; Iceberg, Lettuce, Shredded",Burrito Bar,day3
Vegan Vanilla Coconut Cookie; Sugar Cookie,Dessert,day3
Roasted Yukon Gold Potatoes; Cremini Mushrooms; Grilled Chicken Breast; Roasted Vegetables,Lighter Side,day3
"Sesame Ginger Pasta Salad; Kale, Cabbage and Cranberry Slaw; Kalamata Olive Hummus; Egg Salad",Salad Bar,day3
Pasta Fagioli with Sausage; Chipotle Sweet Potato Soup,Soup,day3
Mexican Rice; Jalapeno Cheese Sauce; Steamed Corn; Braised Beef Taco Filling; Black Bean Veggie Burrito Filling,Traditional,day3
AF Pasta Bolognese; Millet; AF Pasta Primavera,Allergen Friendly,day4
Vegan Oatmeal Raisin Cookies; Vegan Ranger Cookies,Dessert,day4
Baked Sweet Potato; Steamed Fresh Carrots; Grilled Chicken Breast,Lighter Side,day4
Toasted Quinoa Butternut Salad; Tuna Salad; Sweet Potato Salad with Cilantro & Lime; Red Pepper Hummus,Salad Bar,day4
Soup Turkey Gumbo Kettle Cuisine; White Bean & Escarole Soup,Soup,day4
Roasted Broccoli; Garlic and Herb Breadsticks; Meatless American Chop Suey; American Chop Suey,Traditional,day4
AF Rice Pilaf; AF Cider Mill BBQ Sauce; AF BBQ Chickpea Tofu; AF Grilled Chicken Breast,Allergen Friendly,day5
Raspberry Coconut Macaroon Bar; Vegan Vanilla Raspberry Coconut Cookie,Dessert,day5
Roasted Potatoes; Steamed Swiss Chard; Grilled Chicken Breast,Lighter Side,day5
Cornmeal Dusted Challa Roll; Tuna Salad; Sweet Potato Salad with Cilantro & Lime; Red Pepper Hummus; Toasted Quinoa Butternut Salad,Salad Bar,day5
White Cauliflower & Cheddar Soup; Chicken and Roasted Corn Chowder,Soup,day5
BBQ Smoked Tofu; Roasted Broccoli and Cauliflower; Pulled BBQ Chicken; Corn Bread; Macaroni and Cheese,Traditional,day5
AF Cooked Brown Basmati Rice; AF Curried Mango Jackfruit; AF Mango Chicken Curry,Allergen Friendly,day6
Cacao Brownie; Vegan Cacao Brownies,Dessert,day6
Grilled Chicken Breast; Roasted Yukon Gold Potatoes; Roasted Butternut Squash,Lighter Side,day6
Toasted Quinoa Butternut Salad; Sweet Potato Salad with Cilantro & Lime; Red Pepper Hummus; Tuna Salad,Salad Bar,day6
Lentil Soup; Clam Chowder,Soup,day6
Shanghai Bok Choy and Mushroom; Scallion Jasmine Rice; Miso Marinated Tofu; Miso Marinated Salmon,Traditional,day6
AF Vegetarian Chili; AF Steamed Rice Brown; AF Chicken Chili,Allergen Friendly,day7
Double Chocolate Coconut Cookie; Chocolate Chip Blondie,Dessert,day7
Roasted Corn and Red Peppers; Roasted Calico Fingerling Potatoes; Grilled Chicken Breast,Lighter Side,day7
Red Pepper Hummus; Sweet Potato Salad with Cilantro & Lime; Tuna Salad; Toasted Quinoa Butternut Salad,Salad Bar,day7
Black Bean Soup; Loaded Potato Soup,Soup,day7
Tempeh Reuben; Reuben Sandwich; Roasted Brussels Sprouts with Garlic; Waffle Fries,Traditional,day7
Sausage Chicken and Apple; AF Cooked Quinoa; AF Quinoa Breakfast Hash,Allergen Friendly,day8
Vegan Espresso Brownies; Chocolate Cream Cheese Brownie,Dessert,day8
Baked Sweet Potato; Steamed Kale; Grilled Chicken Breast,Lighter Side,day8
Tortellini Salad; Sriracha Tuna Salad; Fresh Mozzarella and Tomato Salad; Spinach Hummus,Salad Bar,day8
Chicken Noodle Soup; Split Pea & Kale Soup,Soup,day8
Roasted Cauliflower; White Rice; Maple Bourbon Baked Ham; Wild Mushroom & Artichoke Frittata,Traditional,day8
AF Steamed Rice Brown; Philly Cheesesteak Beef; Philly Portabella Sandwich Filling,Allergen Friendly,day9
Vegan Coconut Lemon Bars; Lemon Bars,Dessert,day9
Roasted Potatoes; Steamed Swiss Chard; Grilled Chicken Breast,Lighter Side,day9
Fresh Mozzarella and Tomato Salad; Sriracha Tuna Salad; Spinach Hummus; Tortellini Salad,Salad Bar,day9
Tomato & Garden Vegetable Soup; Minestrone Soup,Soup,day9
Garlic Green Beans; Philly Portabella Sandwich Filling; Seasoned Potato Wedges; Nacho Cheese Sauce; Sauteed Onions and Peppers; Philly Cheesesteak Beef; Sub Rolls,Traditional,day9
Corn Tortilla; AF Grilled Vegetable Taco Filling; AF Beef Taco Filling,Allergen Friendly,day10
Vegan Chocolate Chip Cookies; Chocolate Chip Cookie,Dessert,day10
Roasted Yukon Gold Potatoes; Steamed Sugar Snap Peas; Grilled Chicken Breast,Lighter Side,day10
Tortellini Salad; Fresh Mozzarella and Tomato Salad; Spinach Hummus; Sriracha Tuna Salad,Salad Bar,day10
Hungarian Mushroom Soup; Thai Chicken Soup with Red Curry,Soup,day10
Yellow Corn Tortillas; Tortilla; Black Bean & Corn Salsa; Taco Shells; Spanish Rice; Roasted Broccoli; Sweet Potato Taco Filling; Beef Taco Filling,Traditional,day10
