AF Steamed Rice Brown,167 (1/2 Cup),Brown Rice/ Water
Philly Cheesesteak Beef,274 (4 oz Serving),Shaved Steak(Ingredients: Beef.)/ Olive Oil/ Salt and Pepper Mix 2:1(Kosher Salt/ Ground Black Pepper)
Philly Portabella Sandwich Filling,30 (3 oz Serving),Portabella Mushrooms/ Mushroom White Medium/ Onion/ Sliced Green Bell Peppers/ Olive Oil
Vegan Coconut Lemon Bars,180 (Bar),All Purpose Flour(WHEAT FLOUR/ MALTED BARLEY FLOUR/ NIACIN/ IRON/ THIAMIN MONONITRATE/ RIBOFLAVIN/ FOLIC ACID.)/ Sugar/ Earth Balance Soy & Dairy Free Spread(Natural oil blend (palm/ fruit/ canola/ sunflower and olive)/ filtered water/ salt/ natural flavor (plant derived from corn/ no MSG/ no alcohol/ no gluten) pea protein/ sunflower lecithin/ lactic acid (non-dairy/ derived from sugar beets) and naturally extracted annatto for color.)/ Coconut(Coconut/ Sugar/ Water/ Propylene Glycol/ Salt)/ Water/ Fresh Lemon Juice/ Lemon Zest(Lemon Peel/ sugar/ water/ natural lemon flavor/ citric acid/ beta carotene/ potassium sulphate. May contain sulphites.)/ Egg Replacer(Potato Starch/ Tapioca Flour/ Leavening (Calcium Lactate (not dairy derived)/ Calcium Carbonate/ Citric Acid)/ Sodium Carboxymethylcellulose/ Methylcellulose.)/ Kosher Salt/ Baking Soda(Sodium Bicarbonate)/Coconut/Gluten/Wheat
Lemon Bars,204 (Bar),Lemon Cake Mix(Ingredients: Sugar/ Enriched Flour Bleached (Wheat Flour/ Niacin/ Iron/ Thiamin Mononitrate/ Riboflavin/ Folic Acid)/ Palm Oil/ Dextrose/ Contains less than 2% of: Modified Corn Starch/ Leavening (Baking Soda/ Sodium Aluminum Phosphate)/ Egg White/ Propylene Glycol Mono and Diesters of Fatty Acids/ Eggs/ Salt/ Nonfat Milk/ Mono and Diglycerides/ Dried Corn Syrup/ Soy Lecithin/ Xanthan Gum/ Natural Flavor/ Yellows 5 & 6/ Soy Flour.)/ Liquid Eggs(Whole eggs/ citric acid/ water)/ Unsalted Butter(Ingredients: Cream)/ Light Brown Sugar(Ingredients: Brown Sugar)/ Lemon Compound(Ingredients: Water/ Sucrose/ Glucose Syrup/ Concentrated Lemon Juice/ Candied Lemon Peel/ Citric Acid/ Natural Lemon Flavor/ Modified Corn Starch/ Turmeric Extract/ Beta - Carotene Solution.)/Dairy/Eggs/Gluten/Soy/Wheat
Roasted Potatoes,69 (1/2 Cup),Red Potato/ Extra Virgin Olive Oil/ Garlic/ Minced(Garlic)/ Dried Thyme/ Salt and Pepper Mix 2:1(Kosher Salt/ Ground Black Pepper)/ Rosemary/ Chopped(Fresh Rosemary)
Steamed Swiss Chard,19 (1/2 Cup),Swiss Chard(Swiss Chard)/ Salt and Pepper 8:1 Mix(Kosher Salt/ White Pepper)
Grilled Chicken Breast,127 (4 oz Breast),Chicken Breast/ Salt & Pepper 1:2 Mix(Ground Black Pepper/ Kosher Salt)
Fresh Mozzarella and Tomato Salad,159 (3 oz Portion),Fresh Mozzarella(Ingredients: Pasteurized Whole Milk/ Starter/ Cheese Cultures/ Vegetable Rennet and Salt.)/ Grape Tomatoes/ Extra Virgin Olive Oil/ White Balsamic Vinegar(Ingredients: Wine Vinegar/ Concentrated Grape Must/ Balsamic Vinegar of Modena (Wine Vinegar/ Concentrated Grape Must)/ Sulfur Dioxide.)/ Basil/ Chiffonade(Fresh Basil)/ Kosher Salt/ Ground Black Pepper/Dairy
Sriracha Tuna Salad,67 (Ounce),Yellowfin Tuna/ Vegan Mayonnaise Spread(Ingredients: Expeller Pressed Canola Oil/ Water/ Organic Distilled Vinegar/ Salt/ Modified Food Starch/ Cane Sugar/ Spice/ Natural Flavor/ Lemon Juice Concentrate/ Calcium Disodium EDTA/ Oleoresin Paprika)/ Chili Sauce(Ingredients: Chili/ Sugar/ Salt/ Garlic/ Distilled Vinegar/ Potassium Sorbate/ Sodium Bisulfate/ Xanthan Gum.)/ Garlic Powder(Ingredients: Ground/ Dehydrated Garlic.)/ Onion Powder(Ingredients: Ground/ Dehydrated Onion.)/Fish
Spinach Hummus,33 (Tablespoon),Chickpeas(Prepared Garbanzo Beans/ Water/ Salt/ Disodium EDTA Added to Help Promote Color Retention)/ Olive Oil/ Fresh Lemon Juice/ Garlic/ Tahini(Ingredients:100% Ground Sesame)/ Spinach/ Kosher Salt
